metric,class,vlm,external,delta_vlm_minus_external
accuracy,,0.9405,0.9285,0.01200000000000001
macro_f1,,0.9404249205060677,0.9281325958632016,0.012292324642866115
weighted_f1,,0.9404249205060677,0.9281325958632017,0.012292324642866004
precision,FRB,0.9741657696447793,0.8748906386701663,0.09927513097461305
recall,FRB,0.905,1.0,-0.09499999999999997
f1_score,FRB,0.9383100051840332,0.9332711152589828,0.005038889925050416
precision,NON_FRB,0.911297852474323,1.0,-0.08870214752567696
recall,NON_FRB,0.976,0.857,0.119
f1_score,NON_FRB,0.9425398358281024,0.9229940764674206,0.019545759360681814
binary_roc_auc,,0.951979,1.0,-0.04802099999999998
binary_average_precision,,0.941165883941287,1.0,-0.058834116058713026
binary_brier_score,,0.06283,0.054578651630589024,0.008251348369410973
binary_log_loss,,0.2614548858485856,0.18840354589770603,0.07305133995087959
binary_ece,,0.10370000000000008,0.1042009044271604,-0.0005009044271603175
