fits_path,label,toa,dm,source
fast_frex/FRB20121102_0001.fits,FRB,3.092631209,567.3,FRB20121102
fast_frex/FRB20121102_0002.fits,FRB,3.30737934,565.1,FRB20121102
fast_frex/FRB20121102_0003.fits,FRB,1.073093782,565.8,FRB20121102
fast_frex/FRB20121102_0004.fits,FRB,4.121581069,567.6,FRB20121102
fast_frex/FRB20121102_0005.fits,FRB,1.266164426,565.8,FRB20121102
fast_frex/FRB20121102_0006.fits,FRB,4.191827495,564.1,FRB20121102
fast_frex/FRB20121102_0007.fits,FRB,3.023686702,568.1,FRB20121102
fast_frex/FRB20121102_0008.fits,FRB,3.537135688,568,FRB20121102
fast_frex/FRB20121102_0009.fits,FRB,4.454327328,564,FRB20121102
fast_frex/FRB20121102_0010.fits,FRB,1.240860298,567.1,FRB20121102
fast_frex/FRB20121102_0011.fits,FRB,0.601990172,562.3,FRB20121102
fast_frex/FRB20121102_0012.fits,FRB,0.27080609,565.9,FRB20121102
fast_frex/FRB20121102_0013.fits,FRB,2.062369999,566,FRB20121102
fast_frex/FRB20121102_0014.fits,FRB,2.001892682,564.5,FRB20121102
fast_frex/FRB20121102_0015.fits,FRB,3.298848658,566.1,FRB20121102
fast_frex/FRB20121102_0016.fits,FRB,4.304861859,564.5,FRB20121102
fast_frex/FRB20121102_0017.fits,FRB,0.431372761,559.7,FRB20121102
fast_frex/FRB20121102_0018.fits,FRB,3.315300867,568.5,FRB20121102
fast_frex/FRB20121102_0019.fits,FRB,4.421417252,566.7,FRB20121102
fast_frex/FRB20121102_0020.fits,FRB,2.962085372,568.5,FRB20121102
fast_frex/FRB20121102_0021.fits,FRB,2.324996819,566,FRB20121102
fast_frex/FRB20121102_0022.fits,FRB,3.536289535,566,FRB20121102
fast_frex/FRB20121102_0023.fits,FRB,1.726721297,566,FRB20121102
fast_frex/FRB20121102_0024.fits,FRB,3.374373796,566.3,FRB20121102
fast_frex/FRB20121102_0025.fits,FRB,2.073889249,563.2,FRB20121102
fast_frex/FRB20121102_0026.fits,FRB,1.395423431,567.6,FRB20121102
fast_frex/FRB20121102_0027.fits,FRB,4.03783517,566,FRB20121102
fast_frex/FRB20121102_0028.fits,FRB,0.881141494,569.4,FRB20121102
fast_frex/FRB20121102_0029.fits,FRB,0.598989031,569.4,FRB20121102
fast_frex/FRB20121102_0030.fits,FRB,3.996482422,566,FRB20121102
fast_frex/FRB20121102_0031.fits,FRB,3.029052797,566,FRB20121102
fast_frex/FRB20121102_0032.fits,FRB,4.568999307,565.7,FRB20121102
fast_frex/FRB20121102_0033.fits,FRB,1.033996604,554.5,FRB20121102
fast_frex/FRB20121102_0034.fits,FRB,0.075995992,567,FRB20121102
fast_frex/FRB20121102_0035.fits,FRB,1.183143351,569,FRB20121102
fast_frex/FRB20121102_0036.fits,FRB,1.601885422,570,FRB20121102
fast_frex/FRB20121102_0037.fits,FRB,4.23819304,565.9,FRB20121102
fast_frex/FRB20121102_0038.fits,FRB,2.396419435,564.6,FRB20121102
fast_frex/FRB20121102_0039.fits,FRB,0.310313771,566,FRB20121102
fast_frex/FRB20121102_0040.fits,FRB,1.633471576,566,FRB20121102
fast_frex/FRB20121102_0041.fits,FRB,2.810202143,567.9,FRB20121102
fast_frex/FRB20121102_0042.fits,FRB,2.157887234,566,FRB20121102
fast_frex/FRB20121102_0043.fits,FRB,0.848496077,563.7,FRB20121102
